source_year,holding_year,rank,ticker,currency,market_cap,weight
1999,2000,1,MSFT,USD,602430.0,0.29341743175121154
1999,2000,2,GE,USD,507220.0,0.2470447848428025
1999,2000,3,CSCO,USD,357110.0,0.17393273750091323
1999,2000,4,WMT,USD,307520.0,0.14977960694542533
1999,2000,5,XOM,USD,278870.0,0.13582543895964738
2000,2001,1,MSFT,USD,586197.0,0.28422017236572567
2000,2001,2,GE,USD,474956.0,0.23028448829682785
2000,2001,3,9437.T,JPY,366204.0,0.17755560673462709
2000,2001,4,CSCO,USD,348965.0,0.169197202390332
2000,2001,5,WMT,USD,286153.0,0.13874253021248742
2001,2002,1,GE,USD,477406.0,0.3000847316997129
2001,2002,2,CSCO,USD,304699.0,0.19152569859652122
2001,2002,3,XOM,USD,286367.0,0.18000269029432323
2001,2002,4,PFE,USD,263996.0,0.16594087386793924
2001,2002,5,MSFT,USD,258436.0,0.16244600554150346
2002,2003,1,GE,USD,372089.0,0.24366252430312488
2002,2003,2,MSFT,USD,326639.0,0.21389958659312264
2002,2003,3,XOM,USD,299820.0,0.1963371613688201
2002,2003,4,WMT,USD,273220.0,0.17891814831962186
2002,2003,5,C,USD,255299.0,0.16718257941531053
2003,2004,1,MSFT,USD,264003.0,0.22091672705546453
2003,2004,2,GE,USD,259647.0,0.217271642480465
2003,2004,3,XOM,USD,241037.0,0.20169886379801746
2003,2004,4,WMT,USD,234399.0,0.1961442101228919
2003,2004,5,PFE,USD,195948.0,0.16396855654316111
2004,2005,1,GE,USD,299336.0,0.22075023930784354
2004,2005,2,MSFT,USD,271911.0,0.20052522356293612
2004,2005,3,XOM,USD,263940.0,0.194646878968491
2004,2005,4,PFE,USD,261616.0,0.1929330070782024
2004,2005,5,C,USD,259191.0,0.1911446510825269
2005,2006,1,GE,USD,382233.0,0.25799064105341807
2005,2006,2,XOM,USD,380567.0,0.25686616355410485
2005,2006,3,MSFT,USD,262975.0,0.17749668090149887
2005,2006,4,C,USD,234437.0,0.15823477281302287
2005,2006,5,BP,USD,221365.0,0.14941174167795532
2006,2007,1,XOM,USD,446943.0,0.2727097997676485
2006,2007,2,GE,USD,383564.0,0.23403803536038895
2006,2007,3,MSFT,USD,293537.0,0.17910654489363573
2006,2007,4,C,USD,273691.0,0.16699717370717848
2006,2007,5,TM,USD,241161.0,0.14714844627114837
2007,2008,1,XOM,USD,511887.0,0.293989741398471
2007,2008,2,GE,USD,374637.0,0.21516357076522552
2007,2008,3,MSFT,USD,333054.0,0.19128139478386122
2007,2008,4,SHEL,USD,269544.0,0.15480598424165778
2007,2008,5,T,USD,252051.0,0.14475930881078444
2008,2009,1,XOM,USD,406067.0,0.3526662729499227
2008,2009,2,WMT,USD,219898.0,0.19097983359677614
2008,2009,3,PG,USD,184576.0,0.16030293029476647
2008,2009,4,MSFT,USD,172929.0,0.15018759444859392
2008,2009,5,T,USD,167950.0,0.14586336870994077
2009,2010,1,XOM,USD,323717.1,0.2700998490624601
2009,2010,2,MSFT,USD,270635.4,0.22581006901074588
2009,2010,3,WMT,USD,203653.6,0.16992246199235883
2009,2010,4,BHP,USD,201248.0,0.16791530142869182
2009,2010,5,HSBC,USD,199254.9,0.16625231850574337
2010,2011,1,XOM,USD,368711.5,0.2720081639741256
2010,2011,2,AAPL,USD,295886.3,0.2182830999523945
2010,2011,3,BHP,USD,243540.3,0.17966608000213644
2010,2011,4,MSFT,USD,238784.5,0.17615760135086533
2010,2011,5,SHEL,USD,208593.7,0.1538850547204781
2011,2012,1,XOM,USD,406272.1,0.2793276726921158
2011,2012,2,AAPL,USD,376410.6,0.2587967445331415
2011,2012,3,SHEL,USD,236677.0,0.1627245276989286
2011,2012,4,MSFT,USD,218380.1,0.15014470620865059
2011,2012,5,IBM,USD,216724.4,0.1490063488671636
2012,2013,1,AAPL,USD,500610.7,0.3137293449739515
2012,2013,2,XOM,USD,394610.9,0.24729998615007925
2012,2013,3,BHP,USD,247409.0,0.15504954950155952
2012,2013,4,WMT,USD,228245.4,0.1430398507968718
2012,2013,5,MSFT,USD,224801.0,0.14088126857753794
2013,2014,1,AAPL,USD,504770.8,0.27113637852999917
2013,2014,2,XOM,USD,442142.8,0.2374959042502334
2013,2014,3,MSFT,USD,312297.3,0.1677497171918358
2013,2014,4,GOOGL,USD,310079.1,0.16655821658432193
2013,2014,5,BRK-B,USD,292396.0,0.1570597834436097
2014,2015,1,AAPL,USD,647361.0,0.30505041528043125
2014,2015,2,XOM,USD,391481.9,0.18447468440294096
2014,2015,3,MSFT,USD,382880.3,0.1804214256306699
2014,2015,4,BRK-B,USD,370652.6,0.1746594706118712
2014,2015,5,GOOGL,USD,329768.5,0.15539400407408677
2015,2016,1,AAPL,USD,598344.0,0.26939921144729634
2015,2016,2,GOOGL,USD,534090.0,0.24046940362381256
2015,2016,3,MSFT,USD,439680.0,0.1979621175931358
2015,2016,4,BRK-B,USD,323750.0,0.14576563767007306
2015,2016,5,XOM,USD,325167.0,0.1464036296656823
2016,2017,1,AAPL,USD,617588.49,0.25611319820486683
2016,2017,2,GOOGL,USD,531970.0,0.22060731418268983
2016,2017,3,MSFT,USD,483160.28,0.20036598246246293
2016,2017,4,BRK-B,USD,404390.0,0.16770004282635853
2016,2017,5,XOM,USD,374280.0,0.1552134623236219
